Lung_R Dose (Gy),Lung_R Value (% of 1462.670 cc),L_kidney Dose (Gy),L_kidney Value (% of 156.316 cc),R_DeepFemoral Dose (Gy),R_DeepFemoral Value (% of 6327.210 cc),L_AnteriorTib Dose (Gy),L_AnteriorTib Value (% of 1734.620 cc),L_Arm Region Dose (Gy),L_Arm Region Value (% of 1127.230 cc),L_InterIliac Dose (Gy),L_InterIliac Value (% of 2372.120 cc),R_PostTib Dose (Gy),R_PostTib Value (% of 1681.970 cc),Spleen Dose (Gy),Spleen Value (% of 153.090 cc),L_heart Dose (Gy),L_heart Value (% of 165.252 cc),Lung_L Dose (Gy),Lung_L Value (% of 1460.820 cc),Liver Dose (Gy),Liver Value (% of 1795.660 cc),Brain Dose (Gy),Brain Value (% of 1276.600 cc),R_Heart Dose (Gy),R_Heart Value (% of 147.662 cc),R_AnteriorTib Dose (Gy),R_AnteriorTib Value (% of 1752.930 cc),S_int Dose (Gy),S_int Value (% of 1231.790 cc),R_InterIliac Dose (Gy),R_InterIliac Value (% of 2566.170 cc),R_Arm Region Dose (Gy),R_Arm Region Value (% of 1074.610 cc),R_Kidney Dose (Gy),R_Kidney Value (% of 153.867 cc),L_DeepFemoral Dose (Gy),L_DeepFemoral Value (% of 6255.930 cc),Pancreas Dose (Gy),Pancreas Value (% of 129.320 cc),L_int Dose (Gy),L_int Value (% of 825.443 cc),Stomach Dose (Gy),Stomach Value (% of 282.426 cc),L_PostTib Dose (Gy),L_PostTib Value (% of 1853.340 cc),
1.900000,0.000000,1.900000,0.000000,1.900000,0.001821,1.900000,40.619778,1.900000,0.000000,1.900000,0.000000,1.900000,12.375402,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,7.769342,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,0.001280,1.900000,0.000000,1.900000,0.000000,1.900000,0.000000,1.900000,70.787368,
2.100000,0.000000,2.100000,0.000000,2.100000,0.000988,2.100000,39.537835,2.100000,0.000000,2.100000,0.000000,2.100000,10.486456,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,6.946725,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,0.000624,2.100000,0.000000,2.100000,0.000000,2.100000,0.000000,2.100000,69.148959,
2.300000,0.000000,2.300000,0.000000,2.300000,0.000247,2.300000,38.619269,2.300000,0.000000,2.300000,0.000000,2.300000,9.028552,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,6.291462,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,0.000343,2.300000,0.000000,2.300000,0.000000,2.300000,0.000000,2.300000,67.704878,
2.500000,0.000000,2.500000,0.000000,2.500000,0.000185,2.500000,37.827938,2.500000,0.000000,2.500000,0.000000,2.500000,7.914019,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,5.724333,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,0.000187,2.500000,0.000000,2.500000,0.000000,2.500000,0.000000,2.500000,66.375349,
2.700000,0.000000,2.700000,0.000000,2.700000,0.000093,2.700000,37.117790,2.700000,0.000000,2.700000,0.000000,2.700000,7.004092,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,5.239543,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,0.000094,2.700000,0.000000,2.700000,0.000000,2.700000,0.000000,2.700000,65.210642,
2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,36.442997,2.900000,0.000000,2.900000,0.000000,2.900000,6.269160,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,4.822162,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,0.000031,2.900000,0.000000,2.900000,0.000000,2.900000,0.000000,2.900000,64.170078,
3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,35.795902,3.100000,0.000000,3.100000,0.000000,3.100000,5.658478,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,4.456369,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,0.000000,3.100000,63.179571,
3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,35.202517,3.300000,0.000000,3.300000,0.000000,3.300000,5.114798,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,4.134253,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,0.000000,3.300000,62.279167,
3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,34.678378,3.500000,0.000000,3.500000,0.000000,3.500000,4.659253,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,3.865618,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,61.441994,
3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,34.237899,3.700000,0.000000,3.700000,0.000000,3.700000,4.283369,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,3.609128,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,0.000000,3.700000,60.673111,
3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,33.829510,3.900000,0.000000,3.900000,0.000000,3.900000,3.951842,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,3.395758,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,0.000000,3.900000,59.916135,
4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,33.461544,4.100000,0.000000,4.100000,0.000000,4.100000,3.664558,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,3.207904,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,0.000000,4.100000,59.205213,
4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,33.119587,4.300000,0.000000,4.300000,0.000000,4.300000,3.408046,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,3.024506,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,0.000000,4.300000,58.528329,
4.500000,0.000000,4.500000,0.000000,4.500000,0.000000,4.500000,32.810171,4.500000,0.000000,4.500000,0.000000,4.500000,3.180680,4.500000,0.000000,4.500000,0.000000,4.500000,0.000000,4.500000,0.000000,4.500000,0.000000,4.500000,0.000000,4.500000,2.864172,4.500000,0.000000,4.500000,0.000000,4.500000,0.000000,4.500000,0.000000,4.500000,0.000000,4.500000,0.000000,4.500000,0.000000,4.500000,0.000000,4.500000,57.923634,
